,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,years_in_business,RATE_ID_FOR_years_in_business,fsr,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status,PCA
0,606.0,0,150000.0,100.0,2.07,0,5.333333333333333,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,606.0,0,150000.0,100.0,4642,2,-0.16792953547623335
1,703.0,0,150000.0,100.0,26.57,0,73.0,0.0,0,12.75,0,107027.25,36505.2275,0.34,1.0,107027.25,703.0,0,150000.0,100.0,1362,1,0.0012743341603520092
2,692.0,0,150000.0,100.0,42.1,0,19.0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,692.0,0,150000.0,100.0,6485,0,-0.16744216247073296
3,684.0,0,150000.0,100.0,5.53,0,59.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,684.0,0,150000.0,100.0,6035,3,-0.16748749949450042
4,625.0,0,150000.0,100.0,1.65,1,60.666666666666664,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,625.0,0,150000.0,100.0,5299,1,-0.16782186004478558
5,677.0,0,150000.0,50.0,0.99,2,6.0,1.0,0,3.75,2,407304.5,134600.375,0.33,1.0,407304.5,665.0,0,150000.0,100.0,6518,0,0.08143659367851094
6,601.0,1,100000.0,100.0,3.94,0,26.0,1.5,1,18.25,1,78771.7,11854.6875,0.15,1.0,78771.7,601.0,1,100000.0,100.0,7777,0,-0.06369994398159498
7,525.0,2,35000.0,100.0,1.66,1,15.666666666666666,0.0,0,0.0,3,20348.33333,1858.666667,0.09,1.0,20348.33333,525.0,2,35000.0,100.0,486,2,-0.15431608430042967
8,588.0,1,100000.0,100.0,5.64,0,29.0,0.0,0,24.66666667,0,15947.66667,3111.666667,0.2,0.0,15947.66667,588.0,1,100000.0,100.0,5972,2,-0.08251364241707253
9,0.0,5,23333.333333333332,100.0,0.93,2,33.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,5,23333.333333333332,0.0,3435,2,-0.3284062178447989
10,655.0,0,150000.0,100.0,3.65,0,69.0,3.0,2,146.0,0,198839.3267,8777.266667,0.04,1.0,198839.3267,655.0,0,150000.0,100.0,4666,1,0.028389294233420237
11,542.0,2,35000.0,100.0,25.9,0,18.0,0.857142857,0,29.71428571,0,81253.71429,6892.571429,0.08,1.0,81253.71429,542.0,2,35000.0,100.0,2724,1,-0.1360520396468658
12,500.0,2,35000.0,100.0,6.98,0,6.0,1.0,0,23.75,0,103631.675,5852.5125,0.06,2.0,103631.675,500.0,2,35000.0,100.0,4468,0,-0.12961484989866262
13,655.0,0,150000.0,100.0,3.65,0,69.0,3.0,2,146.0,0,198839.3267,8777.266667,0.04,2.0,198839.3267,655.0,0,150000.0,100.0,4666,1,0.028389294233420237
14,616.0,0,150000.0,80.0,20.53,0,69.0,0.4,0,67.2,0,49269.8,2950.6,0.06,1.0,49269.8,615.0,0,150000.0,100.0,1971,2,-0.02015190743566695
15,652.0,0,150000.0,100.0,4.71,0,80.0,3.25,2,10.0,3,990199.79,28797.065,0.03,1.0,990199.79,652.0,0,150000.0,100.0,201,0,0.2644302899406888
16,590.0,1,100000.0,100.0,0.03,3,6.0,0.0,0,17.66666667,0,83851.5,13550.07667,0.16,0.0,83851.5,590.0,1,100000.0,100.0,4410,1,-0.062247009047689074
17,606.0,0,150000.0,100.0,9.42,0,79.0,0.0,0,66.0,0,53789.0,3000.0,0.06,1.0,53789.0,606.0,0,150000.0,100.0,4615,0,-0.015156022352576837
18,564.0,1,100000.0,50.0,1.45,1,8.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,555.0,1,100000.0,100.0,5581,1,-0.23339659424916387
19,713.0,0,150000.0,100.0,21.64,0,80.0,0.0,0,10.5,3,164320.45,48517.7075,0.3,2.0,164320.45,713.0,0,150000.0,100.0,5603,2,0.018421217380327842
